snapshot_id,race_key,cycle,state,race_id,poll_race_id,election_date,snapshot_date,days_before_election,source_candidate_rows,source_questions,candidate_questions,eligible_questions,excluded_questions,has_eligible_polling,earliest_eligible_end_date,latest_eligible_end_date,mean_dem_margin_unweighted,median_dem_margin_unweighted,mean_poll_age_days,median_poll_age_days,internal_questions,partisan_questions,tracking_questions
2018_FL_100_20181106_D090,2018_FL_100_20181106,2018,FL,2018_FL,100,2018-11-06,2018-08-08,90,208,104,104,34,70,True,2017-11-24,2018-07-25,-0.7626470588235295,-1.5,104.38235294117646,81.5,0,0,0
2018_FL_100_20181106_D060,2018_FL_100_20181106,2018,FL,2018_FL,100,2018-11-06,2018-09-07,60,208,104,104,40,64,True,2017-11-24,2018-09-03,-0.88575,-1.0,115.925,89.5,0,0,0
2018_FL_100_20181106_D030,2018_FL_100_20181106,2018,FL,2018_FL,100,2018-11-06,2018-10-07,30,208,104,104,57,47,True,2017-11-24,2018-10-05,-0.25298245614035103,0.0,106.75438596491227,97.0,0,0,0
2018_FL_100_20181106_D014,2018_FL_100_20181106,2018,FL,2018_FL,100,2018-11-06,2018-10-23,14,208,104,104,69,35,True,2017-11-24,2018-10-23,0.164927536231884,0.0,101.84057971014492,68.0,1,0,0
2018_FL_100_20181106_D007,2018_FL_100_20181106,2018,FL,2018_FL,100,2018-11-06,2018-10-30,7,208,104,104,83,21,True,2017-11-24,2018-10-30,0.505421686746988,0.6999999999999957,90.83132530120481,49.0,1,0,1
2018_FL_100_20181106_D000,2018_FL_100_20181106,2018,FL,2018_FL,100,2018-11-06,2018-11-06,0,208,104,104,104,0,True,2017-11-24,2018-11-05,0.43221153846153826,0.25,78.85576923076923,37.0,1,0,9
2018_IN_102_20181106_D120,2018_IN_102_20181106,2018,IN,2018_IN,102,2018-11-06,2018-07-09,120,101,42,42,7,35,True,2018-05-15,2018-07-02,-3.857142857142857,-5.0,13.857142857142858,7.0,0,0,0
2018_IN_102_20181106_D090,2018_IN_102_20181106,2018,IN,2018_IN,102,2018-11-06,2018-08-08,90,101,42,42,8,34,True,2018-05-15,2018-08-07,-1.8624999999999998,-3.5,38.5,37.0,0,0,0
2018_IN_102_20181106_D060,2018_IN_102_20181106,2018,IN,2018_IN,102,2018-11-06,2018-09-07,60,101,42,42,12,30,True,2018-05-15,2018-08-29,0.25833333333333347,-1.0,48.666666666666664,67.0,0,0,0
2018_IN_102_20181106_D030,2018_IN_102_20181106,2018,IN,2018_IN,102,2018-11-06,2018-10-07,30,101,42,42,19,23,True,2018-05-15,2018-10-03,0.17368421052631602,0.0,55.05263157894737,39.0,1,0,0
2018_IN_102_20181106_D014,2018_IN_102_20181106,2018,IN,2018_IN,102,2018-11-06,2018-10-23,14,101,42,42,25,17,True,2018-05-15,2018-10-20,0.25200000000000017,0.0,55.76,42.0,3,0,0
2018_IN_102_20181106_D007,2018_IN_102_20181106,2018,IN,2018_IN,102,2018-11-06,2018-10-30,7,101,42,42,34,8,True,2018-05-15,2018-10-30,0.6147058823529413,1.0,46.588235294117645,28.0,3,0,1
2018_IN_102_20181106_D000,2018_IN_102_20181106,2018,IN,2018_IN,102,2018-11-06,2018-11-06,0,101,42,42,42,0,True,2018-05-15,2018-11-05,0.4571428571428572,0.10000000000000142,44.142857142857146,21.5,3,0,9
2018_MA_105_20181106_D120,2018_MA_105_20181106,2018,MA,2018_MA,105,2018-11-06,2018-07-09,120,36,13,13,5,8,True,2017-06-22,2018-06-12,29.880000000000003,31.0,161.0,113.0,0,0,0
2018_MA_105_20181106_D090,2018_MA_105_20181106,2018,MA,2018_MA,105,2018-11-06,2018-08-08,90,36,13,13,5,8,True,2017-06-22,2018-06-12,29.880000000000003,31.0,191.0,143.0,0,0,0
2018_MA_105_20181106_D060,2018_MA_105_20181106,2018,MA,2018_MA,105,2018-11-06,2018-09-07,60,36,13,13,5,8,True,2017-06-22,2018-06-12,29.880000000000003,31.0,221.0,173.0,0,0,0
2018_MA_105_20181106_D030,2018_MA_105_20181106,2018,MA,2018_MA,105,2018-11-06,2018-10-07,30,36,13,13,9,4,True,2017-06-22,2018-10-07,28.644444444444446,28.0,143.44444444444446,117.0,0,0,0
2018_MA_105_20181106_D014,2018_MA_105_20181106,2018,MA,2018_MA,105,2018-11-06,2018-10-23,14,36,13,13,9,4,True,2017-06-22,2018-10-07,28.644444444444446,28.0,159.44444444444446,133.0,0,0,0
2018_MA_105_20181106_D007,2018_MA_105_20181106,2018,MA,2018_MA,105,2018-11-06,2018-10-30,7,36,13,13,13,0,True,2017-06-22,2018-10-28,27.53846153846154,27.0,116.0,39.0,0,0,0
2018_MA_105_20181106_D000,2018_MA_105_20181106,2018,MA,2018_MA,105,2018-11-06,2018-11-06,0,36,13,13,13,0,True,2017-06-22,2018-10-28,27.53846153846154,27.0,123.0,46.0,0,0,0
2018_MD_104_20181106_D120,2018_MD_104_20181106,2018,MD,2018_MD,104,2018-11-06,2018-07-09,120,7,2,2,0,2,False,,,,,,,0,0,0
2018_MD_104_20181106_D090,2018_MD_104_20181106,2018,MD,2018_MD,104,2018-11-06,2018-08-08,90,7,2,2,0,2,False,,,,,,,0,0,0
2018_MD_104_20181106_D060,2018_MD_104_20181106,2018,MD,2018_MD,104,2018-11-06,2018-09-07,60,7,2,2,0,2,False,,,,,,,0,0,0
2018_MD_104_20181106_D030,2018_MD_104_20181106,2018,MD,2018_MD,104,2018-11-06,2018-10-07,30,7,2,2,2,0,True,2018-09-16,2018-10-06,33.45,33.45,11.0,11.0,1,0,0
2018_MD_104_20181106_D014,2018_MD_104_20181106,2018,MD,2018_MD,104,2018-11-06,2018-10-23,14,7,2,2,2,0,True,2018-09-16,2018-10-06,33.45,33.45,27.0,27.0,1,0,0
2018_MD_104_20181106_D007,2018_MD_104_20181106,2018,MD,2018_MD,104,2018-11-06,2018-10-30,7,7,2,2,2,0,True,2018-09-16,2018-10-06,33.45,33.45,34.0,34.0,1,0,0
2018_MD_104_20181106_D000,2018_MD_104_20181106,2018,MD,2018_MD,104,2018-11-06,2018-11-06,0,7,2,2,2,0,True,2018-09-16,2018-10-06,33.45,33.45,41.0,41.0,1,0,0
2018_ME_103_20181106_D120,2018_ME_103_20181106,2018,ME,2018_ME,103,2018-11-06,2018-07-09,120,17,6,6,0,6,False,,,,,,,0,0,0
2018_ME_103_20181106_D090,2018_ME_103_20181106,2018,ME,2018_ME,103,2018-11-06,2018-08-08,90,17,6,6,0,6,False,,,,,,,0,0,0
2018_ME_103_20181106_D060,2018_ME_103_20181106,2018,ME,2018_ME,103,2018-11-06,2018-09-07,60,17,6,6,0,6,False,,,,,,,0,0,0
2018_ME_103_20181106_D030,2018_ME_103_20181106,2018,ME,2018_ME,103,2018-11-06,2018-10-07,30,17,6,6,0,6,False,,,,,,,0,0,0
2018_ME_103_20181106_D014,2018_ME_103_20181106,2018,ME,2018_ME,103,2018-11-06,2018-10-23,14,17,6,6,0,6,False,,,,,,,0,0,0
2018_ME_103_20181106_D007,2018_ME_103_20181106,2018,ME,2018_ME,103,2018-11-06,2018-10-30,7,17,6,6,0,6,False,,,,,,,0,0,0
2018_ME_103_20181106_D000,2018_ME_103_20181106,2018,ME,2018_ME,103,2018-11-06,2018-11-06,0,17,6,6,0,6,False,,,,,,,0,0,0
2018_MI_106_20181106_D120,2018_MI_106_20181106,2018,MI,2018_MI,106,2018-11-06,2018-07-09,120,79,35,35,7,28,True,2018-01-19,2018-07-02,12.328571428571427,11.0,30.428571428571427,7.0,0,0,0
2018_MI_106_20181106_D090,2018_MI_106_20181106,2018,MI,2018_MI,106,2018-11-06,2018-08-08,90,79,35,35,9,26,True,2018-01-19,2018-07-21,13.666666666666664,12.0,51.22222222222222,37.0,0,0,0
2018_MI_106_20181106_D060,2018_MI_106_20181106,2018,MI,2018_MI,106,2018-11-06,2018-09-07,60,79,35,35,13,22,True,2018-01-19,2018-09-07,14.453846153846152,12.0,61.61538461538461,67.0,1,0,0
2018_MI_106_20181106_D030,2018_MI_106_20181106,2018,MI,2018_MI,106,2018-11-06,2018-10-07,30,79,35,35,21,14,True,2018-01-19,2018-10-07,15.238095238095237,15.0,62.61904761904762,54.0,1,0,0
2018_MI_106_20181106_D014,2018_MI_106_20181106,2018,MI,2018_MI,106,2018-11-06,2018-10-23,14,79,35,35,25,10,True,2018-01-19,2018-10-23,14.28,15.0,66.32,46.0,2,0,0
2018_MI_106_20181106_D007,2018_MI_106_20181106,2018,MI,2018_MI,106,2018-11-06,2018-10-30,7,79,35,35,30,5,True,2018-01-19,2018-10-30,13.736666666666668,13.0,61.7,46.5,2,0,0
2018_MI_106_20181106_D000,2018_MI_106_20181106,2018,MI,2018_MI,106,2018-11-06,2018-11-06,0,79,35,35,35,0,True,2018-01-19,2018-11-05,12.831428571428573,12.0,59.142857142857146,46.0,2,0,0
2018_MN_107_20181106_D120,2018_MN_107_20181106,2018,MN,2018_MN_REGULAR,107,2018-11-06,2018-07-09,120,42,15,15,1,14,True,2018-06-25,2018-06-25,20.0,20.0,14.0,14.0,0,0,0
2018_MN_107_20181106_D090,2018_MN_107_20181106,2018,MN,2018_MN_REGULAR,107,2018-11-06,2018-08-08,90,42,15,15,1,14,True,2018-06-25,2018-06-25,20.0,20.0,44.0,44.0,0,0,0
2018_MN_107_20181106_D060,2018_MN_107_20181106,2018,MN,2018_MN_REGULAR,107,2018-11-06,2018-09-07,60,42,15,15,3,12,True,2018-06-25,2018-08-20,21.433333333333337,20.0,39.666666666666664,27.0,0,0,0
2018_MN_107_20181106_D030,2018_MN_107_20181106,2018,MN,2018_MN_REGULAR,107,2018-11-06,2018-10-07,30,42,15,15,9,6,True,2018-06-25,2018-10-04,24.811111111111114,27.0,30.555555555555557,25.0,0,0,0
2018_MN_107_20181106_D014,2018_MN_107_20181106,2018,MN,2018_MN_REGULAR,107,2018-11-06,2018-10-23,14,42,15,15,11,4,True,2018-06-25,2018-10-17,23.20909090909091,24.300000000000004,39.54545454545455,19.0,0,0,0
2018_MN_107_20181106_D007,2018_MN_107_20181106,2018,MN,2018_MN_REGULAR,107,2018-11-06,2018-10-30,7,42,15,15,12,3,True,2018-06-25,2018-10-30,23.441666666666666,25.150000000000002,42.666666666666664,26.0,0,0,0
2018_MN_107_20181106_D000,2018_MN_107_20181106,2018,MN,2018_MN_REGULAR,107,2018-11-06,2018-11-06,0,42,15,15,15,0,True,2018-06-25,2018-11-04,22.62,23.0,40.46666666666667,33.0,0,0,0
2018_MN_129_20181106_D120,2018_MN_129_20181106,2018,MN,2018_MN_SPECIAL,129,2018-11-06,2018-07-09,120,38,14,14,1,13,True,2018-06-25,2018-06-25,9.0,9.0,14.0,14.0,0,0,0
2018_MN_129_20181106_D090,2018_MN_129_20181106,2018,MN,2018_MN_SPECIAL,129,2018-11-06,2018-08-08,90,38,14,14,2,12,True,2018-06-25,2018-07-19,11.5,11.5,32.0,32.0,0,0,0
2018_MN_129_20181106_D060,2018_MN_129_20181106,2018,MN,2018_MN_SPECIAL,129,2018-11-06,2018-09-07,60,38,14,14,4,10,True,2018-06-25,2018-08-20,8.549999999999999,8.099999999999998,42.25,38.5,0,0,0
2018_MN_129_20181106_D030,2018_MN_129_20181106,2018,MN,2018_MN_SPECIAL,129,2018-11-06,2018-10-07,30,38,14,14,8,6,True,2018-06-25,2018-10-04,9.899999999999999,9.0,43.625,38.5,0,0,0
2018_MN_129_20181106_D014,2018_MN_129_20181106,2018,MN,2018_MN_SPECIAL,129,2018-11-06,2018-10-23,14,38,14,14,10,4,True,2018-06-25,2018-10-17,8.819999999999999,8.099999999999998,49.3,43.0,0,0,0
2018_MN_129_20181106_D007,2018_MN_129_20181106,2018,MN,2018_MN_SPECIAL,129,2018-11-06,2018-10-30,7,38,14,14,11,3,True,2018-06-25,2018-10-30,9.381818181818181,9.0,51.18181818181818,48.0,0,0,0
2018_MN_129_20181106_D000,2018_MN_129_20181106,2018,MN,2018_MN_SPECIAL,129,2018-11-06,2018-11-06,0,38,14,14,14,0,True,2018-06-25,2018-11-04,9.299999999999999,9.0,46.5,33.0,0,0,0
2018_MO_109_20181106_D120,2018_MO_109_20181106,2018,MO,2018_MO,109,2018-11-06,2018-07-09,120,192,72,72,22,50,True,2017-07-08,2018-07-08,-0.49545454545454537,0.5500000000000007,113.0,81.5,1,0,0
2018_MO_109_20181106_D090,2018_MO_109_20181106,2018,MO,2018_MO,109,2018-11-06,2018-08-08,90,192,72,72,23,49,True,2017-07-08,2018-07-12,-0.517391304347826,0.10000000000000142,137.95652173913044,111.0,1,0,0
2018_MO_109_20181106_D060,2018_MO_109_20181106,2018,MO,2018_MO,109,2018-11-06,2018-09-07,60,192,72,72,29,43,True,2017-07-08,2018-08-28,-0.41034482758620683,0.0,136.41379310344828,86.0,1,0,0
2018_MO_109_20181106_D030,2018_MO_109_20181106,2018,MO,2018_MO,109,2018-11-06,2018-10-07,30,192,72,72,47,25,True,2017-07-08,2018-10-07,-0.4702127659574468,0.0,107.12765957446808,59.0,1,0,0
2018_MO_109_20181106_D014,2018_MO_109_20181106,2018,MO,2018_MO,109,2018-11-06,2018-10-23,14,192,72,72,50,22,True,2017-07-08,2018-10-18,-0.662,0.0,116.14,63.0,2,0,0
2018_MO_109_20181106_D007,2018_MO_109_20181106,2018,MO,2018_MO,109,2018-11-06,2018-10-30,7,192,72,72,57,15,True,2017-07-08,2018-10-30,-0.7052631578947369,0.0,108.15789473684211,63.0,2,0,1
2018_MO_109_20181106_D000,2018_MO_109_20181106,2018,MO,2018_MO,109,2018-11-06,2018-11-06,0,192,72,72,72,0,True,2017-07-08,2018-11-05,-0.4208333333333334,0.0,92.01388888888889,39.0,2,0,9
2018_MS_108_20181106_D120,2018_MS_108_20181106,2018,MS,2018_MS_REGULAR,108,2018-11-06,2018-07-09,120,24,8,8,1,7,True,2018-04-11,2018-04-11,-16.8,-16.8,89.0,89.0,0,0,0
2018_MS_108_20181106_D090,2018_MS_108_20181106,2018,MS,2018_MS_REGULAR,108,2018-11-06,2018-08-08,90,24,8,8,2,6,True,2018-04-11,2018-07-31,-18.799999999999997,-18.799999999999997,63.5,63.5,0,0,0
2018_MS_108_20181106_D060,2018_MS_108_20181106,2018,MS,2018_MS_REGULAR,108,2018-11-06,2018-09-07,60,24,8,8,2,6,True,2018-04-11,2018-07-31,-18.799999999999997,-18.799999999999997,93.5,93.5,0,0,0
2018_MS_108_20181106_D030,2018_MS_108_20181106,2018,MS,2018_MS_REGULAR,108,2018-11-06,2018-10-07,30,24,8,8,3,5,True,2018-04-11,2018-09-24,-17.2,-16.8,86.66666666666667,68.0,0,0,0
2018_MS_108_20181106_D014,2018_MS_108_20181106,2018,MS,2018_MS_REGULAR,108,2018-11-06,2018-10-23,14,24,8,8,7,1,True,2018-04-11,2018-10-18,-22.08571428571429,-24.0,46.857142857142854,5.0,0,0,0
2018_MS_108_20181106_D007,2018_MS_108_20181106,2018,MS,2018_MS_REGULAR,108,2018-11-06,2018-10-30,7,24,8,8,7,1,True,2018-04-11,2018-10-18,-22.08571428571429,-24.0,53.857142857142854,12.0,0,0,0
2018_MS_108_20181106_D000,2018_MS_108_20181106,2018,MS,2018_MS_REGULAR,108,2018-11-06,2018-11-06,0,24,8,8,8,0,True,2018-04-11,2018-11-04,-20.325,-22.4,53.5,19.0,0,0,0
2018_MS_130_20181106_D120,2018_MS_130_20181106,2018,MS,2018_MS_SPECIAL,130,2018-11-06,2018-07-09,120,41,12,12,0,12,False,,,,,,,0,0,0
2018_MS_130_20181106_D090,2018_MS_130_20181106,2018,MS,2018_MS_SPECIAL,130,2018-11-06,2018-08-08,90,41,12,12,0,12,False,,,,,,,0,0,0
2018_MS_130_20181106_D060,2018_MS_130_20181106,2018,MS,2018_MS_SPECIAL,130,2018-11-06,2018-09-07,60,41,12,12,0,12,False,,,,,,,0,0,0
2018_MS_130_20181106_D030,2018_MS_130_20181106,2018,MS,2018_MS_SPECIAL,130,2018-11-06,2018-10-07,30,41,12,12,0,12,False,,,,,,,0,0,0
2018_MS_130_20181106_D014,2018_MS_130_20181106,2018,MS,2018_MS_SPECIAL,130,2018-11-06,2018-10-23,14,41,12,12,0,12,False,,,,,,,0,0,0
2018_MS_130_20181106_D007,2018_MS_130_20181106,2018,MS,2018_MS_SPECIAL,130,2018-11-06,2018-10-30,7,41,12,12,0,12,False,,,,,,,0,0,0
2018_MS_130_20181106_D000,2018_MS_130_20181106,2018,MS,2018_MS_SPECIAL,130,2018-11-06,2018-11-06,0,41,12,12,0,12,False,,,,,,,0,0,0
2018_MS_6209_20181127_D120,2018_MS_6209_20181127,2018,MS,2018_MS_SPECIAL,6209,2018-11-27,2018-07-30,120,24,12,12,0,12,False,,,,,,,0,0,0
2018_MS_6209_20181127_D090,2018_MS_6209_20181127,2018,MS,2018_MS_SPECIAL,6209,2018-11-27,2018-08-29,90,24,12,12,0,12,False,,,,,,,0,0,0
2018_MS_6209_20181127_D060,2018_MS_6209_20181127,2018,MS,2018_MS_SPECIAL,6209,2018-11-27,2018-09-28,60,24,12,12,0,12,False,,,,,,,0,0,0
2018_MS_6209_20181127_D030,2018_MS_6209_20181127,2018,MS,2018_MS_SPECIAL,6209,2018-11-27,2018-10-28,30,24,12,12,0,12,False,,,,,,,0,0,0
2018_MS_6209_20181127_D014,2018_MS_6209_20181127,2018,MS,2018_MS_SPECIAL,6209,2018-11-27,2018-11-13,14,24,12,12,0,12,False,,,,,,,0,0,0
2018_MS_6209_20181127_D007,2018_MS_6209_20181127,2018,MS,2018_MS_SPECIAL,6209,2018-11-27,2018-11-20,7,24,12,12,0,12,False,,,,,,,0,0,0
2018_MS_6209_20181127_D000,2018_MS_6209_20181127,2018,MS,2018_MS_SPECIAL,6209,2018-11-27,2018-11-27,0,24,12,12,0,12,False,,,,,,,0,0,0
2018_MT_110_20181106_D120,2018_MT_110_20181106,2018,MT,2018_MT,110,2018-11-06,2018-07-09,120,66,30,30,7,23,True,2018-06-13,2018-07-02,10.285714285714286,10.0,9.714285714285714,7.0,0,0,0
2018_MT_110_20181106_D090,2018_MT_110_20181106,2018,MT,2018_MT,110,2018-11-06,2018-08-08,90,66,30,30,8,22,True,2018-06-13,2018-07-10,9.375,10.0,38.375,37.0,0,0,0
2018_MT_110_20181106_D060,2018_MT_110_20181106,2018,MT,2018_MT,110,2018-11-06,2018-09-07,60,66,30,30,10,20,True,2018-06-13,2018-08-31,9.7,10.0,57.0,67.0,1,0,0
2018_MT_110_20181106_D030,2018_MT_110_20181106,2018,MT,2018_MT,110,2018-11-06,2018-10-07,30,66,30,30,16,14,True,2018-06-13,2018-10-06,7.31875,7.0,59.8125,67.5,2,0,0
2018_MT_110_20181106_D014,2018_MT_110_20181106,2018,MT,2018_MT,110,2018-11-06,2018-10-23,14,66,30,30,18,12,True,2018-06-13,2018-10-18,7.566666666666666,8.0,68.22222222222223,57.5,2,0,0
2018_MT_110_20181106_D007,2018_MT_110_20181106,2018,MT,2018_MT,110,2018-11-06,2018-10-30,7,66,30,30,20,10,True,2018-06-13,2018-10-30,7.345000000000001,7.349999999999998,67.9,53.0,2,0,1
2018_MT_110_20181106_D000,2018_MT_110_20181106,2018,MT,2018_MT,110,2018-11-06,2018-11-06,0,66,30,30,30,0,True,2018-06-13,2018-11-05,6.646666666666666,7.0,51.1,35.0,2,0,9
2018_ND_116_20181106_D120,2018_ND_116_20181106,2018,ND,2018_ND,116,2018-11-06,2018-07-09,120,36,18,18,9,9,True,2018-02-20,2018-07-02,-5.444444444444445,-6.0,37.77777777777778,7.0,1,0,0
2018_ND_116_20181106_D090,2018_ND_116_20181106,2018,ND,2018_ND,116,2018-11-06,2018-08-08,90,36,18,18,9,9,True,2018-02-20,2018-07-02,-5.444444444444445,-6.0,67.77777777777777,37.0,1,0,0
2018_ND_116_20181106_D060,2018_ND_116_20181106,2018,ND,2018_ND,116,2018-11-06,2018-09-07,60,36,18,18,9,9,True,2018-02-20,2018-07-02,-5.444444444444445,-6.0,97.77777777777777,67.0,1,0,0
2018_ND_116_20181106_D030,2018_ND_116_20181106,2018,ND,2018_ND,116,2018-11-06,2018-10-07,30,36,18,18,14,4,True,2018-02-20,2018-10-02,-6.357142857142857,-6.5,87.28571428571429,97.0,1,0,0
2018_ND_116_20181106_D014,2018_ND_116_20181106,2018,ND,2018_ND,116,2018-11-06,2018-10-23,14,36,18,18,15,3,True,2018-02-20,2018-10-19,-7.0,-7.0,96.66666666666667,113.0,1,0,0
2018_ND_116_20181106_D007,2018_ND_116_20181106,2018,ND,2018_ND,116,2018-11-06,2018-10-30,7,36,18,18,18,0,True,2018-02-20,2018-10-30,-7.222222222222222,-7.0,86.72222222222223,84.5,1,0,0
2018_ND_116_20181106_D000,2018_ND_116_20181106,2018,ND,2018_ND,116,2018-11-06,2018-11-06,0,36,18,18,18,0,True,2018-02-20,2018-10-30,-7.222222222222222,-7.0,93.72222222222223,91.5,1,0,0
2018_NE_111_20181106_D120,2018_NE_111_20181106,2018,NE,2018_NE,111,2018-11-06,2018-07-09,120,6,3,3,2,1,True,2017-11-12,2018-01-28,-14.0,-14.0,200.5,200.5,2,0,0
2018_NE_111_20181106_D090,2018_NE_111_20181106,2018,NE,2018_NE,111,2018-11-06,2018-08-08,90,6,3,3,2,1,True,2017-11-12,2018-01-28,-14.0,-14.0,230.5,230.5,2,0,0
2018_NE_111_20181106_D060,2018_NE_111_20181106,2018,NE,2018_NE,111,2018-11-06,2018-09-07,60,6,3,3,2,1,True,2017-11-12,2018-01-28,-14.0,-14.0,260.5,260.5,2,0,0
