cycle,state,poll_race_id,election_date,source_candidate_rows,source_questions,earliest_poll_end_date,latest_poll_end_date,race_id,race_id_mapping_method,race_key
2018,NM,114,2018-11-06,49,17,2018-06-16,2018-11-03,2018_NM,unique_cycle_state,2018_NM_114_20181106
2018,NV,112,2018-11-06,104,46,2017-06-25,2018-11-05,2018_NV,unique_cycle_state,2018_NV_112_20181106
2018,NY,115,2018-11-06,20,10,2018-03-16,2018-11-03,2018_NY,unique_cycle_state,2018_NY_115_20181106
2018,OH,117,2018-11-06,74,34,2018-03-05,2018-11-04,2018_OH,unique_cycle_state,2018_OH_117_20181106
2018,PA,118,2018-11-06,72,29,2018-03-05,2018-11-04,2018_PA,unique_cycle_state,2018_PA_118_20181106
2018,RI,119,2018-11-06,10,5,2018-06-04,2018-10-24,2018_RI,unique_cycle_state,2018_RI_119_20181106
2018,TN,120,2018-11-06,106,53,2017-10-22,2018-10-31,2018_TN,unique_cycle_state,2018_TN_120_20181106
2018,TX,121,2018-11-06,109,49,2017-04-09,2018-11-05,2018_TX,unique_cycle_state,2018_TX_121_20181106
2018,UT,122,2018-11-06,20,7,2017-09-05,2018-10-09,2018_UT,unique_cycle_state,2018_UT_122_20181106
2018,VA,124,2018-11-06,26,11,2017-09-12,2018-09-09,2018_VA,unique_cycle_state,2018_VA_124_20181106
2018,VT,123,2018-11-06,11,3,2018-09-26,2018-11-01,2018_VT,unique_cycle_state,2018_VT_123_20181106
2018,WA,125,2018-11-06,4,2,2018-05-23,2018-10-09,2018_WA,unique_cycle_state,2018_WA_125_20181106
2018,WI,127,2018-11-06,56,28,2018-03-16,2018-11-03,2018_WI,unique_cycle_state,2018_WI_127_20181106
2018,WV,126,2018-11-06,93,39,2016-11-17,2018-10-31,2018_WV,unique_cycle_state,2018_WV_126_20181106
2018,WY,128,2018-11-06,3,1,2018-11-04,2018-11-04,2018_WY,unique_cycle_state,2018_WY_128_20181106
2020,AK,6265,2020-11-03,29,13,2019-06-04,2020-10-28,2020_AK,unique_cycle_state,2020_AK_6265_20201103
2020,AL,6266,2020-11-03,52,25,2019-12-18,2020-11-01,2020_AL,unique_cycle_state,2020_AL_6266_20201103
2020,AR,6267,2020-11-03,6,3,2020-10-09,2020-10-21,2020_AR,unique_cycle_state,2020_AR_6267_20201103
2020,AZ,6268,2020-11-03,240,120,2019-02-13,2020-11-02,2020_AZ,unique_cycle_state,2020_AZ_6268_20201103
2020,CO,6269,2020-11-03,57,26,2019-07-31,2020-11-01,2020_CO,unique_cycle_state,2020_CO_6269_20201103
2020,DE,6270,2020-11-03,4,1,2020-09-27,2020-09-27,2020_DE,unique_cycle_state,2020_DE_6270_20201103
2020,GA,6271,2020-11-03,161,67,2020-04-27,2020-11-01,2020_GA_REGULAR,explicit_regular_special_or_runoff_override,2020_GA_6271_20201103
2020,GA,8737,2021-01-05,58,29,2020-11-09,2021-01-04,2020_GA_REGULAR,explicit_regular_special_or_runoff_override,2020_GA_8737_20210105
2020,GA,7780,2020-11-03,325,58,2019-12-18,2020-11-01,2020_GA_SPECIAL,explicit_regular_special_or_runoff_override,2020_GA_7780_20201103
2020,GA,7781,2021-01-05,124,62,2020-04-01,2021-01-04,2020_GA_SPECIAL,explicit_regular_special_or_runoff_override,2020_GA_7781_20210105
2020,IA,6272,2020-11-03,131,48,2019-04-29,2020-11-02,2020_IA,unique_cycle_state,2020_IA_6272_20201103
2020,ID,6273,2020-11-03,2,1,2020-09-01,2020-09-01,2020_ID,unique_cycle_state,2020_ID_6273_20201103
2020,IL,6274,2020-11-03,9,3,2019-09-04,2020-11-01,2020_IL,unique_cycle_state,2020_IL_6274_20201103
2020,KS,6275,2020-11-03,60,25,2019-06-11,2020-11-01,2020_KS,unique_cycle_state,2020_KS_6275_20201103
2020,KY,6276,2020-11-03,55,22,2019-06-16,2020-11-01,2020_KY,unique_cycle_state,2020_KY_6276_20201103
2020,LA,6277,2020-11-03,6,1,2020-08-12,2020-08-12,2020_LA,unique_cycle_state,2020_LA_6277_20201103
2020,MA,6278,2020-11-03,14,7,2019-08-25,2020-10-30,2020_MA,unique_cycle_state,2020_MA_6278_20201103
2020,ME,6279,2020-11-03,110,39,2019-03-13,2020-11-02,2020_ME,unique_cycle_state,2020_ME_6279_20201103
2020,MI,6280,2020-11-03,263,122,2019-03-10,2020-11-01,2020_MI,unique_cycle_state,2020_MI_6280_20201103
2020,MN,6281,2020-11-03,52,23,2020-05-28,2020-11-01,2020_MN,unique_cycle_state,2020_MN_6281_20201103
2020,MS,6282,2020-11-03,22,9,2020-01-07,2020-11-01,2020_MS,unique_cycle_state,2020_MS_6282_20201103
2020,MT,6283,2020-11-03,40,19,2020-03-13,2020-11-02,2020_MT,unique_cycle_state,2020_MT_6283_20201103
2020,NC,6284,2020-11-03,321,129,2019-06-03,2020-11-02,2020_NC,unique_cycle_state,2020_NC_6284_20201103
2020,NE,6285,2020-11-03,3,1,2020-10-21,2020-10-21,2020_NE,unique_cycle_state,2020_NE_6285_20201103
2020,NH,6286,2020-11-03,74,32,2019-02-15,2020-10-28,2020_NH,unique_cycle_state,2020_NH_6286_20201103
2020,NJ,6287,2020-11-03,16,8,2020-04-19,2020-11-01,2020_NJ,unique_cycle_state,2020_NJ_6287_20201103
2020,NM,6288,2020-11-03,18,7,2020-01-06,2020-10-29,2020_NM,unique_cycle_state,2020_NM_6288_20201103
2020,OK,6289,2020-11-03,19,5,2020-03-08,2020-10-20,2020_OK,unique_cycle_state,2020_OK_6289_20201103
2020,OR,6290,2020-11-03,4,1,2020-09-29,2020-09-29,2020_OR,unique_cycle_state,2020_OR_6290_20201103
2020,SC,6292,2020-11-03,86,37,2019-03-13,2020-11-02,2020_SC,unique_cycle_state,2020_SC_6292_20201103
2020,SD,6293,2020-11-03,2,1,2020-10-28,2020-10-28,2020_SD,unique_cycle_state,2020_SD_6293_20201103
2020,TN,6294,2020-11-03,8,4,2020-01-30,2020-11-01,2020_TN,unique_cycle_state,2020_TN_6294_20201103
2020,TX,6295,2020-11-03,153,63,2019-01-11,2020-11-02,2020_TX,unique_cycle_state,2020_TX_6295_20201103
2020,VA,6296,2020-11-03,28,14,2020-08-22,2020-11-01,2020_VA,unique_cycle_state,2020_VA_6296_20201103
2020,WV,6297,2020-11-03,3,1,2020-10-06,2020-10-06,2020_WV,unique_cycle_state,2020_WV_6297_20201103
2020,WY,6298,2020-11-03,2,1,2020-10-28,2020-10-28,2020_WY,unique_cycle_state,2020_WY_6298_20201103
2022,AK,8918,2022-11-08,62,21,2021-05-25,2022-10-22,2022_AK,unique_cycle_state,2022_AK_8918_20221108
2022,AL,8917,2022-11-08,3,1,2022-10-29,2022-10-29,2022_AL,unique_cycle_state,2022_AL_8917_20221108
2022,AR,8920,2022-11-08,9,3,2022-09-12,2022-10-31,2022_AR,unique_cycle_state,2022_AR_8920_20221108
2022,AZ,8919,2022-11-08,206,88,2021-05-05,2022-11-07,2022_AZ,unique_cycle_state,2022_AZ_8919_20221108
2022,CA,8921,2022-11-08,8,4,2022-10-10,2022-11-06,2022_CA_REGULAR,explicit_regular_special_or_runoff_override,2022_CA_8921_20221108
2022,CA,9480,2022-11-08,4,2,2022-10-10,2022-11-06,2022_CA_SPECIAL,explicit_regular_special_or_runoff_override,2022_CA_9480_20221108
2022,CO,8922,2022-11-08,67,28,2021-06-23,2022-11-07,2022_CO,unique_cycle_state,2022_CO_8922_20221108
2022,FL,8924,2022-11-08,144,68,2021-06-21,2022-11-06,2022_FL,unique_cycle_state,2022_FL_8924_20221108
2022,GA,8925,2022-11-08,208,86,2021-03-09,2022-11-07,2022_GA,unique_cycle_state,2022_GA_8925_20221108
2022,GA,9552,2022-12-06,28,14,2022-11-17,2022-12-05,2022_GA,unique_cycle_state,2022_GA_9552_20221206
2022,IA,8930,2022-11-08,38,19,2021-09-15,2022-11-03,2022_IA,unique_cycle_state,2022_IA_8930_20221108
2022,IL,8928,2022-11-08,20,8,2022-07-19,2022-11-06,2022_IL,unique_cycle_state,2022_IL_8928_20221108
2022,IN,8929,2022-11-08,7,3,2022-08-24,2022-11-07,2022_IN,unique_cycle_state,2022_IN_8929_20221108
2022,KS,8931,2022-11-08,9,4,2022-08-10,2022-10-29,2022_KS,unique_cycle_state,2022_KS_8931_20221108
2022,KY,8932,2022-11-08,2,1,2022-01-22,2022-01-22,2022_KY,unique_cycle_state,2022_KY_8932_20221108
2022,LA,8933,2022-11-08,12,3,2022-03-23,2022-10-11,2022_LA,unique_cycle_state,2022_LA_8933_20221108
2022,MD,8935,2022-11-08,4,2,2021-12-01,2022-09-12,2022_MD,unique_cycle_state,2022_MD_8935_20221108
2022,MO,8936,2022-11-08,106,46,2021-01-12,2022-11-07,2022_MO,unique_cycle_state,2022_MO_8936_20221108
2022,NC,8940,2022-11-08,130,46,2021-11-10,2022-11-06,2022_NC,unique_cycle_state,2022_NC_8940_20221108
2022,NH,8938,2022-11-08,126,56,2021-02-22,2022-11-06,2022_NH,unique_cycle_state,2022_NH_8938_20221108
2022,NV,8937,2022-11-08,150,56,2021-08-14,2022-11-07,2022_NV,unique_cycle_state,2022_NV_8937_20221108
2022,NY,8939,2022-11-08,39,18,2022-07-28,2022-11-06,2022_NY,unique_cycle_state,2022_NY_8939_20221108
2022,OH,8942,2022-11-08,146,73,2021-03-19,2022-11-07,2022_OH,unique_cycle_state,2022_OH_8942_20221108
2022,OK,8943,2022-11-08,41,11,2022-09-07,2022-11-06,2022_OK_REGULAR,explicit_regular_special_or_runoff_override,2022_OK_8943_20221108
2022,OK,9482,2022-11-08,40,11,2022-09-07,2022-11-06,2022_OK_SPECIAL,explicit_regular_special_or_runoff_override,2022_OK_9482_20221108
2022,OR,8944,2022-11-08,16,5,2022-10-01,2022-11-06,2022_OR,unique_cycle_state,2022_OR_8944_20221108
2022,PA,8945,2022-11-08,176,70,2021-05-14,2022-11-07,2022_PA,unique_cycle_state,2022_PA_8945_20221108
2022,SC,8946,2022-11-08,5,2,2022-03-13,2022-09-07,2022_SC,unique_cycle_state,2022_SC_8946_20221108
2022,SD,8947,2022-11-08,10,4,2022-03-19,2022-10-21,2022_SD,unique_cycle_state,2022_SD_8947_20221108
2022,UT,8948,2022-11-08,95,38,2022-02-14,2022-10-30,2022_UT,unique_cycle_state,2022_UT_8948_20221108
2022,VT,8949,2022-11-08,14,5,2020-09-15,2022-10-26,2022_VT,unique_cycle_state,2022_VT_8949_20221108
2022,WA,8950,2022-11-08,56,28,2021-05-26,2022-11-05,2022_WA,unique_cycle_state,2022_WA_8950_20221108
2022,WI,8951,2022-11-08,82,41,2021-03-27,2022-11-07,2022_WI,unique_cycle_state,2022_WI_8951_20221108
2024,AZ,9505,2024-11-05,345,149,2022-12-20,2024-11-04,2024_AZ,unique_cycle_state,2024_AZ_9505_20241105
2024,CA,9506,2024-11-05,44,22,2022-11-21,2024-11-03,2024_CA_REGULAR,explicit_regular_special_or_runoff_override,2024_CA_9506_20241105
2024,CA,10013,2024-11-05,4,2,2024-10-29,2024-11-03,2024_CA_SPECIAL,explicit_regular_special_or_runoff_override,2024_CA_10013_20241105
2024,CT,9507,2024-11-05,2,1,2024-09-18,2024-09-18,2024_CT,unique_cycle_state,2024_CT_9507_20241105
2024,DE,9508,2024-11-05,3,1,2024-09-19,2024-09-19,2024_DE,unique_cycle_state,2024_DE_9508_20241105
2024,FL,9509,2024-11-05,127,58,2023-06-29,2024-11-03,2024_FL,unique_cycle_state,2024_FL_9509_20241105
2024,IN,9511,2024-11-05,11,5,2023-10-04,2024-10-28,2024_IN,unique_cycle_state,2024_IN_9511_20241105
2024,MA,9514,2024-11-05,32,16,2023-05-08,2024-11-02,2024_MA,unique_cycle_state,2024_MA_9514_20241105
2024,MD,9513,2024-11-05,81,35,2023-11-13,2024-11-03,2024_MD,unique_cycle_state,2024_MD_9513_20241105
2024,ME,9512,2024-11-05,19,5,2024-04-30,2024-11-02,2024_ME,unique_cycle_state,2024_ME_9512_20241105
2024,MI,9515,2024-11-05,339,136,2023-06-14,2024-11-04,2024_MI,unique_cycle_state,2024_MI_9515_20241105
2024,MN,9516,2024-11-05,54,21,2024-02-28,2024-11-04,2024_MN,unique_cycle_state,2024_MN_9516_20241105
2024,MO,9518,2024-11-05,39,17,2023-10-04,2024-11-03,2024_MO,unique_cycle_state,2024_MO_9518_20241105
2024,MS,9517,2024-11-05,2,1,2024-10-03,2024-10-03,2024_MS,unique_cycle_state,2024_MS_9517_20241105
2024,MT,9519,2024-11-05,79,32,2023-02-01,2024-11-04,2024_MT,unique_cycle_state,2024_MT_9519_20241105
2024,ND,9525,2024-11-05,12,6,2023-10-04,2024-09-30,2024_ND,unique_cycle_state,2024_ND_9525_20241105
2024,NE,9520,2024-11-05,43,21,2023-11-16,2024-10-31,2024_NE_REGULAR,explicit_regular_special_or_runoff_override,2024_NE_9520_20241105
2024,NE,9553,2024-11-05,10,5,2024-08-27,2024-10-26,2024_NE_SPECIAL,explicit_regular_special_or_runoff_override,2024_NE_9553_20241105
2024,NJ,9522,2024-11-05,35,16,2023-09-27,2024-11-03,2024_NJ,unique_cycle_state,2024_NJ_9522_20241105
2024,NM,9523,2024-11-05,24,12,2024-05-19,2024-11-03,2024_NM,unique_cycle_state,2024_NM_9523_20241105
2024,NV,9521,2024-11-05,182,76,2023-03-01,2024-11-04,2024_NV,unique_cycle_state,2024_NV_9521_20241105
2024,NY,9524,2024-11-05,22,10,2024-08-01,2024-11-03,2024_NY,unique_cycle_state,2024_NY_9524_20241105
2024,OH,9526,2024-11-05,138,68,2023-06-24,2024-11-04,2024_OH,unique_cycle_state,2024_OH_9526_20241105
2024,PA,9527,2024-11-05,374,158,2023-03-01,2024-11-04,2024_PA,unique_cycle_state,2024_PA_9527_20241105
2024,RI,9528,2024-11-05,10,5,2024-09-08,2024-11-02,2024_RI,unique_cycle_state,2024_RI_9528_20241105
2024,TN,9529,2024-11-05,46,20,2023-10-04,2024-10-28,2024_TN,unique_cycle_state,2024_TN_9529_20241105
2024,TX,9530,2024-11-05,142,61,2023-05-17,2024-11-04,2024_TX,unique_cycle_state,2024_TX_9530_20241105
2024,UT,9531,2024-11-05,19,7,2024-08-09,2024-10-28,2024_UT,unique_cycle_state,2024_UT_9531_20241105
2024,VA,9504,2024-11-05,58,29,2022-09-12,2024-11-04,2024_VA,unique_cycle_state,2024_VA_9504_20241105
2024,VT,9532,2024-11-05,10,2,2024-08-19,2024-11-02,2024_VT,unique_cycle_state,2024_VT_9532_20241105
2024,WA,9533,2024-11-05,20,10,2023-03-08,2024-11-03,2024_WA,unique_cycle_state,2024_WA_9533_20241105
2024,WI,9534,2024-11-05,260,114,2023-05-25,2024-11-04,2024_WI,unique_cycle_state,2024_WI_9534_20241105
2024,WV,9479,2024-11-05,40,20,2022-01-20,2024-08-27,2024_WV,unique_cycle_state,2024_WV_9479_20241105
2024,WY,9535,2024-11-05,2,1,2024-10-28,2024-10-28,2024_WY,unique_cycle_state,2024_WY_9535_20241105
